"path","lines","language","area","size_band","review_action"
"internal/service/room/execution.go","430","go","service","normal","no-size-signal"
"internal/service/goal/service_appserver_test.go","477","go","goal","normal","no-size-signal"
"web/src/features/capability/channels/pairings-directory.tsx","306","tsx","frontend","normal","no-size-signal"
"internal/service/goal/service_progress.go","353","go","goal","normal","no-size-signal"
"internal/runtime/debug_message_test.go","473","go","runtime","normal","no-size-signal"
"internal/storage/skills/repository.go","47","go","storage","normal","no-size-signal"
"internal/service/dm/service_round.go","290","go","service","normal","no-size-signal"
"web/src/features/conversation/shared/message/markdown/mermaid-view.tsx","462","tsx","frontend","normal","no-size-signal"
"web/src/features/contacts/contacts-agent-memory-tab.tsx","458","tsx","frontend","normal","large-cohesive-memory-tab"
"internal/service/room/goal_runtime.go","211","go","service","normal","no-size-signal"
"web/src/shared/ui/onboarding/tour-overlay.tsx","455","tsx","frontend","normal","large-cohesive-tour-overlay"
"scripts/desktop/fetch-nxs-runtime.js","451","js","scripts","normal","no-size-signal"
"web/src/features/home/use-chat-completion-notifications.ts","455","ts","frontend","normal","large-cohesive-notification-hook"
"internal/handler/channel/handlers_test.go","449","go","im-channel","normal","no-size-signal"
"internal/service/goal/service_lifecycle_test.go","448","go","goal","normal","no-size-signal"
"internal/service/skills/marketplace_util.go","251","go","service","normal","no-size-signal"
"internal/handler/room/handlers.go","256","go","handler","normal","no-size-signal"
"web/src/features/settings/provider-settings/use-provider-model-actions.ts","439","ts","frontend","normal","no-size-signal"
"internal/service/launcher/service.go","272","go","service","normal","no-size-signal"
"internal/service/channels/adapters/personal_weixin_test.go","434","go","im-channel","normal","no-size-signal"
"web/src/features/launcher/launcher-hero-stage.tsx","430","tsx","frontend","normal","no-size-signal"
"web/src/features/home/home-ascii-hero.tsx","430","tsx","frontend","normal","no-size-signal"
"internal/storage/postgres/repository_agent.go","428","go","storage","normal","no-size-signal"
"internal/service/room/public_mentions.go","342","go","service","normal","no-size-signal"
"internal/storage/sqlite/repository_agent.go","427","go","storage","normal","no-size-signal"
"internal/storage/automation/repository_run.go","284","go","automation","normal","no-size-signal"
"internal/runtime/clientopts/options_agent_client.go","215","go","runtime","normal","no-size-signal"
"web/src/features/capability/scheduled/scheduled-task-list.tsx","235","tsx","frontend","normal","no-size-signal"
"web/src/features/memory/memory-panel.tsx","424","tsx","frontend","normal","no-size-signal"
"web/src/hooks/capability/use-skill-marketplace.ts","423","ts","frontend","normal","no-size-signal"
"web/src/features/capability/scheduled/scheduled-tasks-directory.tsx","378","tsx","frontend","normal","no-size-signal"
"web/src/features/conversation/shared/editor/document-file-preview.tsx","422","tsx","frontend","normal","no-size-signal"
"web/src/shared/ui/workspace/controls/workspace-conversation-tabs.tsx","421","tsx","frontend","normal","no-size-signal"
"web/src/lib/websocket/socket-client.ts","421","ts","frontend","normal","no-size-signal"
"internal/service/skills/service_registry.go","275","go","service","normal","no-size-signal"
"web/src/features/home/home-sidebar-panel.tsx","418","tsx","frontend","normal","no-size-signal"
"web/src/features/settings/provider-settings/provider-settings-model.ts","447","ts","frontend","normal","no-size-signal"
"internal/service/agent/emotion_state.go","377","go","service","normal","no-size-signal"
"web/src/features/conversation/shared/utils.ts","418","ts","frontend","normal","no-size-signal"
"internal/service/connectors/service_connection.go","233","go","connectors","normal","no-size-signal"
"internal/handler/shared/middleware.go","260","go","handler","normal","no-size-signal"
"internal/chat/dm/mapper_test.go","415","go","other","normal","no-size-signal"
"internal/runtime/mcp/goal/tool/registry_test.go","413","go","goal","normal","no-size-signal"
"internal/runtime/mcp/automation/internal/builder/builder.go","82","go","automation","normal","no-size-signal"
"internal/message/processor.go","383","go","other","normal","no-size-signal"
"web/src/features/capability/scheduled/heartbeat-settings-card.tsx","405","tsx","frontend","normal","no-size-signal"
"internal/handler/automation/handlers.go","326","go","handler","normal","no-size-signal"
"internal/service/room/private_domain.go","399","go","service","normal","no-size-signal"
"web/src/config/desktop-runtime.ts","396","ts","frontend","normal","no-size-signal"
"internal/message/segment_assistant.go","396","go","other","normal","no-size-signal"
"internal/handler/websocket/registry_workspace_subscription.go","308","go","handler","normal","no-size-signal"
"web/src/types/conversation/message.ts","392","ts","frontend","normal","no-size-signal"
"web/src/features/agents/options/components/agent-options-identity-tab.tsx","390","tsx","frontend","normal","no-size-signal"
"internal/service/skills/marketplace_import.go","326","go","service","normal","no-size-signal"
"web/src/shared/ui/workspace/catalog/workspace-catalog-card.tsx","389","tsx","frontend","normal","no-size-signal"
"internal/service/room/goal_continuation.go","386","go","service","normal","no-size-signal"
"internal/service/dm/service_history.go","383","go","service","normal","no-size-signal"
"web/src/features/conversation/room/surface/room-history-surface.tsx","382","tsx","frontend","normal","no-size-signal"
"web/src/features/conversation/room/dm/dm-chat-panel.tsx","381","tsx","frontend","normal","no-size-signal"
"internal/handler/automation/handlers_test.go","380","go","handler","normal","no-size-signal"
"internal/storage/workspace/store_agent_history_transcript_projection_test.go","378","go","storage","normal","no-size-signal"
"web/src/features/conversation/room/workspace/room-workspace-view.tsx","376","tsx","frontend","normal","no-size-signal"
"internal/service/dm/service_runtime_client.go","382","go","service","normal","no-size-signal"
"web/src/hooks/agent/message-helpers.ts","375","ts","frontend","normal","no-size-signal"
"internal/cli/command_auth_test.go","375","go","entrypoint","normal","no-size-signal"
"web/src/hooks/conversation/use-follow-scroll.ts","373","ts","frontend","normal","no-size-signal"
"web/src/pages/room/room-page.tsx","372","tsx","frontend","normal","no-size-signal"
"internal/service/skills/marketplace_sources.go","183","go","service","normal","no-size-signal"
"web/src/shared/ui/liquid-glass/glass-magnifier.tsx","368","tsx","frontend","normal","no-size-signal"
"internal/service/connectors/catalog.go","367","go","connectors","normal","no-size-signal"
"web/src/types/capability/scheduled-task.ts","365","ts","frontend","normal","no-size-signal"
"internal/protocol/model_session_key.go","365","go","protocol","normal","no-size-signal"
"web/src/bootstrap/root-bootstrap.tsx","364","tsx","frontend","normal","no-size-signal"
